Date as of,Start Date,End Date,State, County name,FIPS  Code,Urban Rural Code,Deaths involving COVID-19,Deaths from All Causes,Footnote
6/9/2021,1/1/2020,6/5/2021,AK,Aleutians East Borough,2013,Noncore,,12,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Anchorage Municipality,2020,Medium metro,203,3129,
6/9/2021,1/1/2020,6/5/2021,AK,Bethel Census Area,2050,Noncore,17,153,
6/9/2021,1/1/2020,6/5/2021,AK,Dillingham Census Area,2070,Noncore,,35,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Fairbanks North Star Borough,2090,Small metro,46,739,
6/9/2021,1/1/2020,6/5/2021,AK,Hoonah-Angoon Census Area,2105,Noncore,,15,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Juneau City and Borough,2110,Micropolitan,,232,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Kenai Peninsula Borough,2122,Noncore,14,501,
6/9/2021,1/1/2020,6/5/2021,AK,Ketchikan Gateway Borough,2130,Micropolitan,,120,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Kodiak Island Borough,2150,Noncore,,88,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Matanuska-Susitna Borough,2170,Medium metro,47,870,
6/9/2021,1/1/2020,6/5/2021,AK,North Slope Borough,2185,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Sitka City and Borough,2220,Noncore,,72,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Valdez-Cordova Census Area,2261,Noncore,,50,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AK,Wade Hampton Census Area,2270,Noncore,,53,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AL,Autauga ,1001,Medium metro,94,735,
6/9/2021,1/1/2020,6/5/2021,AL,Baldwin ,1003,Small metro,252,3318,
6/9/2021,1/1/2020,6/5/2021,AL,Barbour ,1005,Noncore,39,406,
6/9/2021,1/1/2020,6/5/2021,AL,Bibb ,1007,Large fringe metro,30,277,
6/9/2021,1/1/2020,6/5/2021,AL,Blount ,1009,Large fringe metro,50,721,
6/9/2021,1/1/2020,6/5/2021,AL,Bullock ,1011,Noncore,,148,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AL,Butler ,1013,Noncore,32,337,
6/9/2021,1/1/2020,6/5/2021,AL,Calhoun ,1015,Small metro,298,2355,
6/9/2021,1/1/2020,6/5/2021,AL,Chambers ,1017,Micropolitan,39,535,
6/9/2021,1/1/2020,6/5/2021,AL,Cherokee ,1019,Noncore,16,419,
6/9/2021,1/1/2020,6/5/2021,AL,Chilton ,1021,Large fringe metro,32,565,
6/9/2021,1/1/2020,6/5/2021,AL,Choctaw ,1023,Noncore,16,173,
6/9/2021,1/1/2020,6/5/2021,AL,Clarke ,1025,Noncore,17,421,
6/9/2021,1/1/2020,6/5/2021,AL,Clay ,1027,Noncore,36,282,
6/9/2021,1/1/2020,6/5/2021,AL,Cleburne ,1029,Noncore,15,209,
6/9/2021,1/1/2020,6/5/2021,AL,Coffee ,1031,Micropolitan,82,791,
6/9/2021,1/1/2020,6/5/2021,AL,Colbert ,1033,Small metro,172,1045,
6/9/2021,1/1/2020,6/5/2021,AL,Conecuh ,1035,Noncore,10,191,
6/9/2021,1/1/2020,6/5/2021,AL,Coosa ,1037,Micropolitan,,123,One or more data cells have counts between 1-9 and have been suppressed in accordance with NCHS confidentiality standards.
6/9/2021,1/1/2020,6/5/2021,AL,Covington ,1039,Noncore,108,829,
6/9/2021,1/1/2020,6/5/2021,AL,Crenshaw ,1041,Noncore,31,274,
6/9/2021,1/1/2020,6/5/2021,AL,Cullman ,1043,Micropolitan,214,1696,
6/9/2021,1/1/2020,6/5/2021,AL,Dale ,1045,Micropolitan,75,668,
6/9/2021,1/1/2020,6/5/2021,AL,Dallas ,1047,Micropolitan,114,770,
6/9/2021,1/1/2020,6/5/2021,AL,DeKalb ,1049,Noncore,109,1101,
6/9/2021,1/1/2020,6/5/2021,AL,Elmore ,1051,Medium metro,59,1014,
6/9/2021,1/1/2020,6/5/2021,AL,Escambia ,1053,Noncore,58,609,
6/9/2021,1/1/2020,6/5/2021,AL,Etowah ,1055,Small metro,386,2542,
6/9/2021,1/1/2020,6/5/2021,AL,Fayette ,1057,Noncore,25,235,
6/9/2021,1/1/2020,6/5/2021,AL,Franklin ,1059,Noncore,30,463,
